iso3,pays,CP1,CP2,CP3,CP4
AFG,Afghanistan,-2.556088731115747,-0.5411716031187607,0.9882163794838373,0.27786274768562275
ZAF,South Africa,0.3153311906533472,2.1949104718825954,1.3330418010573348,-0.596637683359164
ALB,Albania,0.23609526619436963,-1.1622649663568208,-0.8789800414798838,-1.035369590443698
DZA,Algeria,-1.9954696985683662,0.2637235483240777,-0.11706296652634253,-0.4272594483045382
DEU,Germany,2.3991520470528847,3.6646699140541736,1.5644312542476642,1.6698544724053923
AGO,Angola,-2.147774788431726,-0.6163757005908913,3.890376619908697,-0.18180606187944875
ATG,Antigua and Barbuda,3.671267799708424,-2.5730722640258,0.3344559302442868,-2.3775510789576506
SAU,Saudi Arabia,1.9156964528301237,2.509485538187675,2.1422874650940478,-0.2570727382262551
ARG,Argentina,-0.24275352625447585,2.0066487479237995,-0.9484390638344709,-1.6345056855939284
ARM,Armenia,-0.21019556261832748,-1.225973940954277,-0.82205625369721,0.38248863927878235
AUS,Australia,1.8908215871344631,2.566256778195705,-0.6664378468289637,-0.2269855878203333
AUT,Austria,2.030963960490985,0.5819406600650432,0.17474597044020423,1.6389452893144292
AZE,Azerbaijan,-0.9705493973471089,-0.38249612390889076,0.7078570829899754,-0.0653974383153476
BHS,"Bahamas, The",3.4285288903764686,-1.7008828539480823,-0.00040371817170028427,-1.3831665505570165
BGD,Bangladesh,-2.756570710789762,0.4267001379454164,-1.1447072370793736,-0.8242480951156397
BRB,Barbados,1.5714609376010096,-0.85987757642951,-1.0358246774836575,-1.4850529316859753
BEL,Belgium,2.3377954442566744,0.4994262225130863,1.2076422081734117,0.9289513263889384
BLZ,Belize,0.2415470511273621,-0.9870506006373533,-0.7393364781982521,-1.5997509875632079
BOL,Bolivia,-0.43960313098950127,0.3345053441479349,-1.182169988270946,-1.3782201680950137
BIH,Bosnia and Herzegovina,-0.02196774621859395,-0.4768859014680748,-1.191421772339134,0.2040932196698443
BWA,Botswana,-0.10901608633730409,-1.0996365173965674,-0.870883057573715,0.7868124106549707
BRA,Brazil,0.07897565565794971,5.145488064671015,-0.5314752531070932,-2.9460880532085945
BGR,Bulgaria,1.1012595835044785,-0.38404217650826716,-0.17683016638236873,0.47813617419330273
BFA,Burkina Faso,-2.270632188321471,-0.35542903242433216,-0.7946472608712153,0.32506462372235706
BLR,Belarus,-0.11824028641653282,0.19089877548134562,-0.5665038589290977,-0.1854435614748058
BEN,Benin,-0.10504776539670133,-1.040415969488077,0.5697295631764445,1.8477002434883003
CPV,Cabo Verde,1.0240404963868404,-2.021565504787685,-0.31113967764760997,0.3166911373140472
KHM,Cambodia,-2.004115300121978,-0.5633747952147855,-1.586249194289111,-0.6019692907288297
CMR,Cameroon,-2.2772606777120905,-0.22038043405740002,-0.483834440332086,0.03737879475299603
CAN,Canada,1.9479258835092284,2.7083643287517236,-0.41391125675534374,0.12253855120097251
CHL,Chile,0.3526687281771731,1.1106902893782298,-0.30184024984467633,-1.2457816481142698
HKG,"Hong Kong SAR, China",5.753409785773521,0.954416562429922,3.4414897744458095,-0.7497732766585697
MAC,"Macao SAR, China",3.3571315704028124,-0.8023044710844643,-0.857346441579007,0.764373948491948
TWN,"Chine, Taiwan Province de",0.5786544594384772,0.8647915476847107,-0.7510621942731533,-0.5473522977445963
CHN,China,-0.4901006784847014,7.057256519276361,-0.7575747084876048,-2.048724053383624
CYP,Cyprus,1.4373330958275767,-0.6729316841106161,-1.0054177821698291,0.8766015760034712
COL,Colombia,-1.2273046035101582,1.453575582506954,-0.04652192624586687,-1.347375335804655
COG,"Congo, Rep.",0.09874071270175283,-1.2827348393984939,1.821787144946827,-1.1031362160329643
CRI,Costa Rica,-0.07732778401432253,-0.09247194624610684,-1.203130570759474,-0.4413917448370763
HRV,Croatia,0.6856240788635702,-0.5008520371440335,-0.8967286844176328,1.0799306373787094
CUB,Cuba,1.4084250620988208,-0.19060800486422022,0.5660137228604779,-0.6360526693158733
CIV,Cote d'Ivoire,-2.1657522833739926,-0.2990811984022142,-0.7704664541853696,0.9190399558869691
DNK,Denmark,2.732090060727234,0.5052190377133531,0.39139967474140364,1.4497838896939246
DJI,Djibouti,-0.5751065642113143,-1.8426755318948262,-0.29651071698588166,0.5777084093942347
DMA,Dominica,3.4571253614976407,-2.6902891273010923,0.7658805672145349,-2.722821206281257
