iso3,pays,viande_de_volailles__disponibilité_alimentaire_en_quantité,viande_de_volailles__importations_quantité,viande_de_volailles__production,population_2017_milliers,pib_par_hab_usd,stabilite_politique,croissance_pib,inflation,fe_taux_dependance_import,fe_intensite_proteique,fe_potentiel_marche_musd,fe_import_par_hab,fe_croissance_pop_10ans
GRD,Grenada,45.7,7.0,1.0,110.874,9751.42661155932,0.9134729,4.43867566948151,0.908458255874249,87.5,8.072916666666668,0.04940991110774229,63.134729512780275,5.403555471052379
GRC,Greece,15.32,79.0,246.0,10569.45,18631.9930129293,0.00694,1.47312472702352,1.12125452031425,26.68918918918919,11.924528301886793,3.0169663521937458,7.474371892577191,-4.954049141223682
GTM,Guatemala,20.58,129.0,235.0,16914.97,4324.99768915601,-0.700759599999999,3.07985126948702,4.42453655182546,36.134453781512605,8.605633802816902,1.5055753028169077,7.6263806557150255,23.463987392417728
GIN,Guinea,4.08,37.0,13.0,12067.519,833.598621691121,-0.800407099999999,10.3000053427355,8.91435947913097,74.0,10.142857142857142,0.041042626198976175,3.0660817687546214,26.78413122197332
GNB,Guinea-Bissau,2.16,4.0,3.0,1828.145,783.123186602022,-0.582037399999999,4.66367943913264,1.69111461822298,57.142857142857146,10.571428571428571,0.0030923915140163953,2.1880102508280252,29.513943252171558
GUY,Guyana,38.34,0.0,31.0,775.222,6178.6650437298,-0.0051392,3.73449154571284,1.90465615515584,0.0,7.472727272727273,0.18364235336081183,0.0,3.851172311426776
GEO,Georgia,15.27,51.0,22.0,4008.716,4418.75206546679,-0.1125587,5.15990261658827,6.03531725272117,75.0,10.176470588235295,0.2704854825413613,12.722278155898298,-3.79544151517196
HTI,Haiti,8.91,89.0,9.0,10982.366,1395.23945184461,-0.834199999999999,2.51027134544685,10.6800887242584,90.81632653061224,8.870967741935484,0.1365282001315702,8.103900379936345,15.660733362765367
HND,Honduras,21.73,12.0,193.0,9429.013,2413.0076562942,-0.9065696,4.84291391050387,3.93436084442044,5.882352941176471,7.505376344086022,0.4944070565752656,1.2726676694580863,20.75291367708956
HUN,Hungary,25.27,58.0,493.0,9729.823,14736.1668157258,0.7324048,4.12418389451805,2.34824281150154,17.008797653958943,9.423076923076925,3.623220049987322,5.961053967785436,-2.936169444408687
IND,India,2.22,0.0,3545.0,1338676.785,1950.10468280866,-0.572111399999999,6.79538341897911,3.32817337461298,0.0,10.714285714285714,5.795442905174547,0.0,13.1394581161703
IDN,Indonesia,7.19,1.0,2301.0,264650.963,3798.88326174526,-0.5816146,5.06978590134916,3.80879857691949,0.043440486533449174,9.68,7.2286686363918875,0.0037785617277349567,13.889972186891875
IRN,"Iran, Islamic Rep.",27.52,6.0,2174.0,80673.883,6000.93346404409,-0.699442999999999,3.02685468694025,8.04492437660278,0.2810304449648712,10.208333333333334,13.322943986733016,0.0743735119332238,13.089247821678885
IRQ,Iraq,14.95,470.0,96.0,37552.781,4759.2846435467,-2.1677252,-1.81975035118309,0.18405889884769,83.03886925795052,10.326923076923077,2.6719293903397956,12.515717544327808,34.543539579455576
IRL,Ireland,25.82,99.0,110.0,4753.279,72161.4047531385,0.9418026,10.1088576065965,0.362173038229378,85.34482758620689,11.6,8.856344943245183,20.827727553968533,9.911527916421292
ISL,Iceland,29.95,2.0,10.0,334.393,72976.3729990975,1.2503574,3.48506703916689,1.76041559180596,16.666666666666668,11.85576923076923,0.7308635094738019,5.980986444094225,9.571306396489977
ISR,Israel,67.39,0.0,629.0,8243.848,41138.470964272,-0.4501475,4.3469311670646,0.249807840123008,0.0,11.91025641025641,22.854597533602337,0.0,20.398396936765284
ITA,Italy,18.88,97.0,1315.0,60673.701,32844.115660604,0.2543499,1.60369995294101,1.22653316645812,7.89259560618389,12.046153846153846,37.62357412443308,1.5987157269341457,3.2781448842877925
JAM,Jamaica,51.1,31.0,128.0,2920.848,5605.43541173019,0.1291365,2.29303371291363,4.37839864991561,19.620253164556964,8.825842696629215,0.8366411278666945,10.613356121236025,5.5133123114542215
JPN,Japan,18.5,1069.0,2215.0,127502.725,38834.0529341227,1.169376,1.67533175173359,0.484199796126385,32.65119120342089,10.805970149253731,91.60178008005546,8.384134535163856,-0.7715002725768083
JOR,Jordan,28.07,64.0,210.0,9785.843,4065.61628749384,-0.444359699999999,2.47359815449045,3.32389447576097,24.242424242424242,10.306122448979592,1.1167784990425482,6.540059962131009,56.441326367484756
KAZ,Kazakhstan,18.27,174.0,171.0,18080.019,8943.08416791984,-0.0563947,4.10000000257358,7.44266321306792,51.32743362831859,10.131147540983607,2.9540969756947573,9.623883691715147,15.143925935021208
KEN,Kenya,0.67,0.0,35.0,50221.142,1667.48447230835,-1.1322093,3.83795817364721,8.00564967709945,0.0,11.5,0.056107792892617116,0.0,29.750504392970043
KGZ,Kyrgyz Republic,3.1,25.0,7.0,6189.733,1221.39046807082,-0.2975366,4.73993722377884,3.1753098637994,78.125,9.818181818181818,0.02343625074692054,4.0389464295148105,19.391685659572055
KIR,Kiribati,17.98,1.0,1.0,114.158,1853.05122713319,0.9519508,3.74913001948165,0.355520888546828,50.0,10.555555555555555,0.003803500383327531,8.759789064279332,18.265355807183493
KWT,Kuwait,46.25,137.0,56.0,4056.099,29047.6536135703,0.0018547,-4.71222270495362,2.17183298510006,72.48677248677248,10.173076923076922,5.449182343313636,33.7762958941584,61.98355523660166
LSO,Lesotho,7.93,15.0,2.0,2091.534,1069.36673247542,-0.2021614,-3.13817493733471,4.447699373763,88.23529411764706,10.074074074074074,0.017736371853969073,7.171769619810148,5.265028018211093
LVA,Latvia,20.89,43.0,33.0,1951.097,15132.4958333982,0.6631827,3.39894872623931,2.93036312374665,76.78571428571429,10.027777777777777,0.6167765652896342,22.038883766414482,-11.236669670791311
LBN,Lebanon,10.74,13.0,64.0,6819.373,8608.21084982387,-1.3393518,0.903028464073813,4.32135218303191,17.80821917808219,10.263157894736842,0.6304659309551806,1.9063336174748031,43.043443057601884
LBR,Liberia,10.67,48.0,15.0,4702.226,699.269095727404,-0.2701752,2.45515592012239,12.4196323907138,76.19047619047619,10.38888888888889,0.03508425451561922,10.20793130742759,35.82746639067265
LTU,Lithuania,28.19,44.0,118.0,2845.414,16800.1510246099,0.8922634,4.61224310312809,3.72288862303707,46.808510638297875,10.145833333333334,1.3475774211073346,15.463479128169046,-12.69004412423519
LUX,Luxembourg,18.33,11.0,0.0,591.91,110193.213797228,1.2715421,1.31718713754285,1.73079959118887,100.0,10.420289855072465,1.1955644467258868,18.58390633711206,24.634934672520338
MKD,North Macedonia,19.73,40.0,2.0,2081.996,5955.2973863451,-0.249481799999999,1.08177273813243,1.35161889677442,97.5609756097561,10.308823529411764,0.24463040230258018,19.21233278065856,0.8022558058240925
MDG,Madagascar,2.87,0.0,81.0,25570.512,491.866848718929,-0.535016199999999,3.93330759462793,8.60905075422949,0.0,6.928571428571429,0.03609681414222463,0.0,31.579347653257027
MYS,Malaysia,39.21,68.0,1724.0,31104.646,9862.54806612235,-0.011848,5.81272240983328,3.87120115774237,3.8901601830663615,9.119718309859154,12.028493507847584,2.186168587162188,16.407991356407116
MWI,Malawi,5.17,0.0,130.0,17670.196,495.769683367165,-0.313000899999999,4.00000000089172,11.5433939188771,0.0,10.23529411764706,0.04529099645069121,0.0,32.44230953440636
MDV,Maldives,13.5,12.0,0.0,496.402,10509.628805812,-0.0431782999999999,7.07442863215275,2.81747338234509,100.0,10.0,0.07042951023924629,24.173955785834867,48.10498584296281
MLI,Mali,2.83,1.0,48.0,18512.43,924.057531692284,-1.71864139999999,5.37554769639952,1.75985742927165,2.0408163265306123,10.666666666666666,0.04841153755113611,0.05401775995911936,35.60765350881048
MLT,Malta,27.17,9.0,4.0,437.933,30317.2443175543,1.082828,12.9713424962459,1.36435448150708,69.23076923076923,12.310679611650485,0.3607339641028991,20.55108886519171,7.375469533065915
MAR,Morocco,20.96,3.0,762.0,35581.255,3296.52661132813,-0.5065227,5.05789816173446,0.754663249323619,0.39267015706806285,10.414285714285715,2.4584938512521157,0.084314058062314,14.175421491555241
MUS,Mauritius,37.93,2.0,48.0,1264.499,10986.7034093005,1.0144918,3.93798380632353,3.66699702675925,4.0,10.203125,0.5269491807423637,1.5816540780182506,2.4807742025417356
MRT,Mauritania,5.14,24.0,5.0,4282.57,1615.00401327323,-0.7637873,6.27054566937677,2.25427651934813,82.75862068965517,14.454545454545457,0.03555013016881497,5.6041115498404,33.72512932796297
MEX,Mexico,32.52,972.0,3249.0,124777.324,9649.27816772402,-1.0455954,1.87172853327193,6.04145724018986,23.076923076923077,7.528455284552845,39.15444124192337,7.789876949116172,14.295823243535155
MNG,Mongolia,2.77,10.0,0.0,3113.786,3645.96708669551,0.716039,5.63687638694772,4.30143105302342,100.0,10.555555555555555,0.031447148720706745,3.211524491406924,20.04634091802824
MNE,Montenegro,15.98,8.0,4.0,627.563,7674.2813940676,0.0506422,3.21668504736274,2.3802359905313,66.66666666666667,10.527272727272727,0.07696119897099382,12.747724132875902,1.292540613827664
MOZ,Mozambique,3.59,24.0,92.0,28649.018,470.93856305196,-1.06530219999999,2.63820737310658,15.1132073899384,20.689655172413794,9.23076923076923,0.04843601925747336,0.8377250487259285,32.185670157718384
MMR,Myanmar,30.37,3.0,1662.0,53382.523,1272.82241815234,-1.24136,6.13610824360305,4.5725365531752,0.18018018018018017,8.560344827586206,2.0635343550024023,0.05619816807834279,7.579476426285203
NAM,Namibia,11.53,29.0,11.0,2402.633,5143.96072323076,0.6294292,-1.02724808856709,6.14579981111164,100.0,10.625,0.1424998440134182,12.070091437185788,19.741651441255836
NIC,Nicaragua,21.59,6.0,143.0,6384.846,2182.61380995674,-0.181501599999999,4.63120757580209,3.85067166284727,4.026845637583893,7.430107526881721,0.30087074943687586,0.9397250928213461,14.217945977275704
NER,Niger,0.94,3.0,19.0,21602.382,521.804130023434,-1.0412801,5.00536078615544,2.79637318871284,13.636363636363637,10.666666666666668,0.010595879417187258,0.13887357421973187,47.10109000102756
NGA,Nigeria,1.01,0.0,201.0,190873.244,1876.34027111773,-1.90978539999999,0.805886619102438,16.5022662139641,0.0,15.5,0.3617245859400415,0.0,30.43137487987988
NOR,Norway,19.05,2.0,101.0,5296.326,76131.8384032764,1.0956942,2.46374626574153,1.87510059552545,1.941747572815534,11.833333333333334,7.681322619856508,0.3776202597800815,12.224514885572368
NCL,New Caledonia,38.71,9.0,1.0,277.15,32354.7102832901,-0.02007499999999995,3.39894872623931,2.40636194047246,90.0,10.330882352941178,0.34711674893858613,32.473389861086055,13.898352449954988
NZL,New Zealand,34.79,1.0,223.0,4702.034,42950.3841711138,1.4924848,3.37873219470765,1.85078767452536,0.4975124378109453,8.585714285714285,7.025985458993378,0.21267391941444916,11.079208683298013
NPL,Nepal,1.99,0.0,58.0,27632.681,1034.28374906846,-0.5502541,8.97727935643466,2.77703998300211,0.0,9.571428571428573,0.056874265473970675,0.0,4.738353688746377
OMN,Oman,21.63,126.0,7.0,4665.928,17820.0661809335,0.5468563,0.304057565922449,1.58909413567799,100.0,10.10958904109589,1.7984727626908308,27.004274390860726,75.59844013792181
UGA,Uganda,1.52,0.0,65.0,41166.588,765.218332297361,-0.6855171,3.13140551723596,5.20971705914209,0.0,10.200000000000001,0.04788217027991348,0.0,39.61241304362719
UZB,Uzbekistan,1.96,0.0,0.0,31959.785,2190.60411562888,-0.2138791,4.39527463349263,13.8757425441635,0.0,10.5,0.13722202364900374,0.0,17.478862392620155
PAK,Pakistan,5.86,2.0,1281.0,207906.209,1519.23459514248,-2.2184098,4.43262590683975,4.08537368032608,0.1563721657544957,9.85,1.850929668810256,0.009619722323925401,23.89521292788568
PAN,Panama,33.82,20.0,198.0,4106.769,15694.6297518495,0.457992,5.74405946988693,0.875585918759878,9.174311926605505,8.837606837606838,2.179841684259042,4.870008515209888,18.910117483550138
PRY,Paraguay,5.99,1.0,45.0,6867.061,6152.2671153779,-0.0283019999999999,4.81007885552178,3.60247741348943,2.380952380952381,8.181818181818182,0.2530654814818685,0.1456227052592077,14.481029776639787
NLD,Netherlands,20.33,608.0,1100.0,17021.347,49513.6817346384,0.7820237,2.78154619309936,1.38145871407216,100.0,12.114285714285716,17.13391171521428,35.71985225376111,3.118087825789062
PHL,Philippines,13.87,249.0,1272.0,105172.925,3038.12124959289,-1.2792545,6.9309883258402,2.85318772590947,16.392363396971692,9.6875,4.431854723758586,2.367529475860826,17.63587941956399
POL,Poland,30.3,55.0,2351.0,37953.18,13913.3402919927,0.6020499,5.15245773325907,2.07593553673859,3.9826212889210715,11.345794392523365,16.000081907648518,1.4491539312384365,-1.043345953356145
PYF,French Polynesia,47.4,15.0,1.0,276.102,20826.9312492172,-0.02007499999999995,4.29263363103487,2.40636194047246,93.75,9.70059880239521,0.27256693942196275,54.32774844079363,5.093235790058648
PRT,Portugal,30.58,82.0,361.0,10288.527,21442.3842768879,1.054818,3.31472008175986,1.36861411643472,20.551378446115287,11.688073394495413,6.746270606068838,7.970042747615864,-2.691876956549244
PER,Peru,13.47,60.0,1465.0,31444.298,6736.16693725487,-0.2242779,2.51883544233135,2.99490045809443,3.937007874015748,10.82258064516129,2.853135126246074,1.908136095135595,10.980977269939007
ROU,Romania,19.37,146.0,392.0,19653.969,10727.9822007426,0.1382404,8.19547826641261,1.3390212110439,31.13006396588486,11.984848484848486,4.08411471146719,7.4285249966558915,-6.5617932785523525
GBR,United Kingdom,31.94,779.0,1814.0,66727.461,40916.8115070354,0.4406625,3.02322219840339,2.55775577557747,34.87018800358102,11.475,87.204981713917,11.674353981488972,8.579098693125232
RWA,Rwanda,1.49,0.0,19.0,11980.961,758.300966509647,0.094453,3.91817093628465,8.27953672260832,0.0,10.0,0.013536909715961437,0.0,29.192095501316228
CAF,Central African Republic,2.29,4.0,7.0,4596.023,432.324025684263,-1.82651039999999,4.52727821346231,4.18072331871266,36.36363636363637,9.75,0.004550163968989191,0.8703176637714825,9.480992184392134
KOR,"Korea, Rep.",16.7,137.0,838.0,51096.415,33296.9845439195,0.6254761,3.433191763972,1.94433230786366,14.13828689370485,9.161290322580646,28.412654226428426,2.681205716682863,4.204370323857698
MDA,Moldova,16.14,16.0,54.0,4059.684,3453.26727720294,-0.181840299999999,4.17561205106279,6.57022997455611,22.857142857142858,10.054545454545455,0.22626946695556727,3.9411934524953174,-1.7058033924306715
DOM,Dominican Republic,35.26,42.0,339.0,10513.104,7412.71571571512,0.0918722,3.93386176401576,3.27955694678546,11.2,8.845528455284553,2.7478347627840165,3.9950142222506315,12.573728209467916
LAO,Lao PDR,10.91,0.0,0.0,6953.035,2432.43059478511,0.2776591,6.8925308726989,0.825478607568026,0.0,8.75609756097561,0.18451837591127349,0.0,16.95703646188327
PRK,"Korea, Dem. People's Rep.",1.62,0.0,43.0,25429.825,6025.22737479042,-0.3543859,3.39894872623931,2.40636194047246,0.0,6.125,0.2482171739163303,0.0,5.132615392107875
TZA,Tanzania,1.88,2.0,105.0,54660.339,986.674011230469,-0.683829799999999,6.72726996832338,5.31871605228931,1.8691588785046729,10.5,0.10139203956033281,0.03658960109998586,34.36194474459518
KNA,St. Kitts and Nevis,55.77,4.0,0.0,52.045,22464.9899633959,0.6612426,0.220941147299996,0.694916711613604,100.0,10.11578947368421,0.06520574875550829,76.85656643289461,8.930888693540972
VCT,St. Vincent and the Grenadines,72.31,9.0,0.0,109.827,7988.04445019298,0.7873576,1.54810173239956,2.15333648840511,100.0,10.329218106995885,0.06343777688078452,81.94706219782022,1.2062514974474192
LCA,St. Lucia,56.69,10.0,1.0,180.954,11333.1123822102,0.8668533,3.37982617272246,0.104262078958441,90.9090909090909,7.883817427385892,0.11625826570101322,55.26266343932712,7.942662506934539
WSM,Samoa,64.77,17.0,0.0,195.352,4307.59381964907,1.0690453,1.40628239971301,1.74989677484705,100.0,10.08294930875576,0.054503765085038625,87.02240058970473,7.309141645518169
STP,Sao Tome and Principe,9.47,2.0,1.0,207.089,1555.79477812888,0.2145007,4.11297966281954,5.6902961992902,66.66666666666667,9.727272727272727,0.0030511202161311126,9.657683411480088,24.52736019242332
SRB,Serbia,10.16,12.0,85.0,8829.628,6548.03653824187,0.1168497,2.3634031250553,3.13106248590115,13.333333333333334,10.0,0.5874179439129282,1.3590606535179057,-2.983754313311937
SLE,Sierra Leone,3.97,14.0,17.0,7488.423,779.186007841728,-0.1470976,3.20786087715987,18.2215094003386,45.16129032258065,12.4,0.023164451456928702,1.8695525079178887,25.02306902609892
SVK,Slovak Republic,13.9,63.0,71.0,5447.9,17645.5298716761,0.8542516,2.87473327453695,1.31194588223228,63.63636363636363,9.875,1.3362220424118687,11.56408891499477,0.9114800399800504
