iso3,pays,viande_de_volailles__disponibilité_alimentaire_en_quantité,viande_de_volailles__importations_quantité,viande_de_volailles__production,population_2017_milliers,pib_par_hab_usd,stabilite_politique,croissance_pib,inflation,fe_taux_dependance_import,fe_intensite_proteique,fe_potentiel_marche_musd,fe_import_par_hab,fe_croissance_pop_10ans
SVN,Slovenia,24.41,20.0,72.0,2076.394,23303.077705959,0.9455099,5.17440215579958,1.42910743319306,31.746031746031747,10.506024096385543,1.1811113095238654,9.632083313667831,3.1944448586017193
SDN,Sudan,1.6,2.0,67.0,40813.397,966.505676269531,-1.9473364,0.70925628476644,32.3516260968437,2.898550724637681,10.8,0.06311420778934697,0.04900351715393845,367.8159125095438
LKA,Sri Lanka,7.78,0.0,192.0,21128.032,4398.88828068715,-0.179121299999999,6.46068127065753,7.70413767850602,0.0,10.153846153846155,0.7230720513513325,0.0,6.481126641993118
CHE,Switzerland,15.72,51.0,91.0,8455.804,82254.3769269767,1.1641565,1.36279965488859,0.533787839825876,36.95652173913044,11.8,10.93368270194394,6.03136023493449,12.190847742504896
SUR,Suriname,31.06,18.0,10.0,570.496,6049.52128553675,0.1667453,1.56603782534897,21.9969430173304,78.26086956521739,8.276785714285714,0.10719513221643961,31.55149203500112,11.603522040138415
SWE,Sweden,16.6,84.0,157.0,9904.896,53210.2233318965,0.8668924,1.88282184966646,1.79449904665599,38.53211009174312,11.622950819672132,8.748892688770859,8.480654415755602,8.097369195626003
SEN,Senegal,4.76,0.0,77.0,15419.355,1356.80518449031,-0.1422197,7.4074861863013,1.31815314847789,0.0,10.0625,0.09958424943416373,0.0,31.935051355856213
TJK,Tajikistan,4.45,38.0,2.0,8880.268,829.45714764957,-0.6533475,7.10000041864309,2.40636194047246,95.0,8.055555555555555,0.03277781785711469,4.279150133757224,25.735245810650696
TCD,Chad,0.45,1.0,6.0,15016.753,854.46120040098,-1.36771589999999,-1.61746922760291,-1.5370996298084,14.285714285714286,7.5,0.005774054757527258,0.0665922919555246,38.812346875917456
CZE,Czechia,21.96,116.0,163.0,10641.034,20913.197632212,1.0199948,5.17356529967881,2.4505339846014,46.03174603174603,9.146341463414634,4.886935513285799,10.901196255927761,2.7370983336001187
THA,Thailand,12.95,2.0,1676.0,69209.81,6413.09182530343,-0.984692599999999,4.1776810321001,0.665631893135106,0.22675736961451248,9.25531914893617,5.747842824306357,0.02889763748809598,4.574869201350262
TLS,Timor-Leste,4.24,11.0,1.0,1243.258,1266.17771143471,0.0703179999999999,-3.18241515376397,0.557215537430361,91.66666666666667,10.428571428571429,0.006674546813250674,8.847721068354275,19.960208106585142
TGO,Togo,7.06,16.0,40.0,7698.474,792.765700965864,-0.835878399999999,4.00791259566937,-0.981889868943119,28.571428571428573,9.958333333333334,0.043087788127060996,2.0783339659262343,30.033905038528918
TTO,Trinidad and Tobago,54.54,23.0,61.0,1384.059,17566.0999700656,0.0748617,-4.87274946918724,1.88038440183532,27.38095238095238,8.798941798941797,1.3260047730869007,16.617788692534063,5.778435722850905
TUN,Tunisia,17.03,0.0,213.0,11433.443,3619.03247319953,-0.7432926,2.25261437620587,5.30884839565844,0.0,11.017543859649123,0.7046673655020138,0.0,10.953391676789836
TKM,Turkmenistan,4.52,9.0,20.0,5757.667,5828.4816623489,-0.2289187,6.50000004682975,2.40636194047246,31.03448275862069,10.200000000000001,0.1516842235038995,1.5631331231903476,18.22382555248403
TUR,Turkiye,20.64,3.0,2192.0,81116.45,10756.3877677883,-1.70623179999999,7.82585730002594,11.1443110840764,0.16987542468856173,9.845070422535212,18.008812604877928,0.03698386702080774,16.577027387947506
UKR,Ukraine,22.62,121.0,1211.0,44487.709,2604.28759765625,-1.590004,2.35997228099491,14.4383227488749,11.425873465533522,9.717948717948719,2.6207258025845284,2.7198523529274117,-4.0517398467807
URY,Uruguay,9.12,3.0,33.0,3436.641,19184.6502617082,1.1129983,1.74037643374211,6.2180938256186,9.090909090909092,9.000000000000002,0.6012884916196298,0.8729454138503265,3.14825636625089
VUT,Vanuatu,11.66,4.0,1.0,285.51,3159.86055790126,0.8525004,4.41266598569969,3.08452624403546,80.0,10.125,0.010519323046755293,14.010017162271025,30.089487497266166
VEN,"Venezuela, RB",20.28,25.0,600.0,29402.484,3791.33160682077,-1.38006459999999,-15.6714088720003,2.40636194047246,4.0,10.183098591549296,2.260704216899147,0.8502682970595273,7.908488120609469
VNM,Viet Nam,12.33,291.0,918.0,94600.648,2956.10992127753,0.1500179,6.94019037359206,3.52025688811617,24.089403973509935,8.354166666666666,3.448083441001987,3.076088865691491,10.748186560621665
YEM,"Yemen, Rep.",8.53,78.0,168.0,27834.819,811.165970405745,-2.7305026,-5.07179568062152,2.40636194047246,31.70731707317073,10.133333333333333,0.19259595244318387,2.8022456334276864,30.787263629322005
ZMB,Zambia,3.42,12.0,49.0,16853.599,1483.46577328065,-0.211101999999999,3.52586277149926,6.57731154205644,20.0,10.454545454545453,0.0855059414739917,0.712014092657598,34.79689366308354
ZWE,Zimbabwe,4.68,6.0,69.0,14236.595,3445.44941020134,-0.8348774,4.73441117758482,0.893962316050027,8.0,9.9375,0.22956086951939858,0.4214490894768026,16.16094652038418
EGY,"Egypt, Arab Rep.",12.96,110.0,1118.0,96442.591,2395.10333299491,-1.4711477,4.18122099994778,29.5066083940038,8.964955175224123,9.02,2.993630026062074,1.1405749146660733,23.277476825824728
ARE,United Arab Emirates,43.47,433.0,48.0,9487.203,43733.6192287435,0.7192871,-1.06137661464977,1.96682557818842,100.0,10.068027210884354,18.036125682622558,45.64042742629203,53.79238358990786
ECU,Ecuador,19.31,0.0,340.0,16785.361,6233.32244797718,-0.1273984,5.97039880954841,0.417335588666824,0.0,7.409638554216869,2.02037763878611,0.0,17.40841518695726
USA,United States,55.68,123.0,21914.0,325084.756,59635.0984397965,0.1101294,2.45762229852507,2.13011000365961,0.6704824202780049,9.100456621004566,1079.4381721627767,0.3783628660828378,8.142262371491915
ETH,Ethiopia,0.13,1.0,14.0,106399.924,696.348429076216,-1.5195725,9.56418965754014,10.6871150284238,6.666666666666667,0.0,0.009631884591059741,0.0093985029538179,31.88817342533714
SLB,Solomon Islands,4.45,6.0,0.0,636.039,2143.57670489272,0.1156377,3.07546176144591,0.488686760261083,100.0,8.38888888888889,0.0060671228079245115,9.433383801936674,29.241544951354513
