iso3,pays,viande_de_volailles__disponibilité_alimentaire_en_quantité,viande_de_volailles__importations_quantité,viande_de_volailles__production,population_2017_milliers,pib_par_hab_usd,stabilite_politique,croissance_pib,inflation,fe_taux_dependance_import,fe_intensite_proteique,fe_potentiel_marche_musd,fe_import_par_hab,fe_croissance_pop_10ans,devise,taux_pour_1_eur,fe_change_log,cluster_kmeans,cluster_cah
AFG,Afghanistan,1.53,29.0,28.0,36296.113,525.469770891619,-2.61393089999999,2.6470032027451,4.97595150553832,50.87719298245614,10.8,0.0291809405790204,0.7989836267040497,33.93134733571321,AFN,74.942984,4.316727611094289,1,1
ZAF,South Africa,35.69,514.0,1667.0,57009.756,6618.33508255701,-0.3828321,1.15794695181735,5.18618655524149,24.268177525967893,9.867132867132868,13.466182057444666,9.016000699950371,16.062776285201252,ZAR,19.096906,2.9495263324020677,4,2
ALB,Albania,16.36,38.0,13.0,2884.169,5006.36012951959,0.1638298,3.28317593330073,1.98666133171194,74.50980392156863,7.364705882352942,0.2362251269421648,13.175372178260012,-4.93833549000362,ALL,93.676976,4.539852438665972,2,4
DZA,Algeria,6.38,2.0,275.0,41389.189,4554.66753957828,-0.929504599999999,1.49999999895587,5.59111590961663,0.7220216606498195,8.954545454545453,1.2027192921051753,0.0483217972693304,21.1380071959552,DZD,151.9249,5.023386319801686,1,1
DEU,Germany,19.47,842.0,1514.0,82658.409,45553.9341495339,0.7022243,2.797906720551,1.50949485109628,49.23976608187135,11.211267605633802,73.31264407796445,10.186501412094684,1.698592346769101,EUR,1.0,0.0,4,2
AGO,Angola,10.56,277.0,42.0,29816.766,2790.71886869768,-0.537214499999999,-0.149396225571834,29.8444799015679,86.83385579937304,10.285714285714285,0.878699833226091,9.290075254975674,42.62735356472882,AOA,1075.633401,6.980664977278127,1,1
ATG,Antigua and Barbuda,54.1,7.0,0.0,95.426,16965.7288273816,0.614623,2.71272657973627,2.43248789041362,100.0,7.626609442060086,0.0875863656743208,73.35527005218704,13.567229190964714,XCD,3.083753,1.1261473617024642,3,3
SAU,Saudi Arabia,43.36,722.0,616.0,33101.179,23929.2907135982,-0.667506399999999,1.18210705878283,-0.834845735027162,54.36746987951807,10.311258278145695,34.344924200607004,21.81191189594788,31.434221480693125,SAR,4.28299,1.4546513638184606,4,2
ARG,Argentina,42.24,8.0,2161.0,43937.14,14532.5009308511,0.2394066,2.81850297775918,2.40636194047246,0.4077471967380224,7.434065934065933,26.970938140563018,0.1820783055064576,10.716695357697548,ARS,1709.029759,7.443681096071065,4,4
ARM,Armenia,16.06,35.0,11.0,2944.791,3869.05373867752,-0.3015882,7.50000000164144,0.969553268816137,76.08695652173913,10.074074074074074,0.182980487328473,11.885393564432926,0.4150898616867238,AMD,417.1099,6.033349736236493,2,4
